Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
49,14790697,岁月如梭,"2025-11-20 13:45:18",0.08556,6,h1132341543
50,14813872,"Hanish Kumar Data","2025-11-22 11:57:00",0.08556,6,hanishkumardata
51,14820190,czc12345,"2025-11-23 12:13:15",0.08556,1,czc12345
52,14631335,"maro #2","2026-01-02 12:29:33",0.09521,18,marostuck
53,15043367,Team_Raduansm,"2026-01-05 19:02:48",0.10430,10,"mdabusaif48,raduansm"
54,14941755,wcy_toki,"2025-12-15 17:08:13",0.10646,13,wcytoki
55,14665054,toki_wcy,"2025-12-22 06:06:18",0.10683,54,tokiwcy
56,4467708,"Carl McBride Ellis","2025-12-18 15:37:46",0.10979,1,carlmcbrideellis
57,15019355,"Leonard Excoffier","2025-12-30 11:11:32",0.10985,3,sky2812
58,14812851,"Matthew Li #2","2025-12-01 05:33:35",0.10985,17,matthewover137
59,13998239,"Nina #8","2025-12-22 15:52:52",0.10994,11,nina2025
60,15043354,Dzungngo179,"2026-01-02 07:00:41",0.10994,6,dzungngo179
61,15002505,"Divyanshu Singh #5","2026-01-05 10:27:44",0.10994,10,"divyanshuuucoder,lonescholar"
62,15008327,forever1235689,"2025-12-22 05:33:25",0.11000,1,forever1235689
63,14481938,"Xuan Zhang","2025-11-22 08:46:57",0.11024,6,xuanzhang001
64,14996152,LouisXXRXL,"2025-12-24 09:14:55",0.11054,26,louisxxrxl
65,14843126,"[Deleted] b0dfe0b6-b720-420e-a020-568b0aa1eb6c","2025-11-26 14:28:51",0.11055,8,del=81b45b3253bd545d
66,14384323,"Pedro Chumpitaz","2025-11-26 14:29:47",0.11055,10,pedrochumpitaz
67,13887598,"Sam Green 2046","2025-11-22 06:37:53",0.11058,7,samgreen2046
68,15002660,stewie233,"2025-12-26 06:52:06",0.11252,4,stewie233
69,15001350,"yihui ding123","2025-12-21 17:57:07",0.11255,10,yihuiding123
70,14339125,USC20234080111,"2025-12-16 11:06:08",0.11287,6,wyb1201
71,14932513,dtbkelly,"2025-12-08 22:11:31",0.11298,1,dtbkelly
72,14777150,No_Pytorch,"2025-11-18 08:32:17",0.11403,1,nopytorch
73,15027226,ZortseD250,"2025-12-29 06:31:08",0.11441,2,zortsed250
74,14849143,"Yitao Ma","2025-12-10 08:36:15",0.11464,14,mayitao
75,14475918,"Mauro Sempere Sanz 2nd Account","2025-11-26 15:19:49",0.11548,52,maurosemperesanz2
76,14384386,"Mauro Sempere Sanz","2025-11-23 00:08:29",0.11548,11,"adamj79,maurosemperesanz"
77,14476869,"Vignesh Srinivasan","2025-11-26 07:00:48",0.11611,23,vignesh5500
78,14964637,demialenzo,"2025-12-17 14:56:12",0.11617,11,demialenzo
79,14431890,"Smith The","2025-12-25 09:40:35",0.11621,37,smiththe
80,14988865,USC20234080114,"2025-12-18 04:32:58",0.11621,1,usc20234080114
81,14711081,MariiaGmail,"2025-11-22 17:15:49",0.11628,27,mariiagmail
82,14683920,"Mariia Makhonina","2025-11-22 17:01:38",0.11631,10,mariiamakhonina1
83,14121659,Kostya138,"2025-12-27 14:59:15",0.11634,22,kostya138
84,14649975,"Team Veer","2026-01-14 04:39:56",0.11634,21,tarangill1104
85,14942607,harristran166,"2025-12-11 09:55:02",0.11634,7,harristran166
86,14894981,kilohanayoung,"2025-12-09 13:15:46",0.11656,12,kilohanayoung
87,14570063,Angelssc,"2025-11-27 12:40:09",0.11658,35,angelssc
88,14394173,ccook022,"2025-12-03 21:12:29",0.11664,2,ccook022
89,14963702,"zhuo xu1","2025-12-22 17:26:42",0.11668,5,zhuoxu1
90,15052118,Don_quixote,"2026-01-07 14:21:42",0.11674,25,donqu1x0te
91,14814800,Victorzhu04,"2025-11-26 11:18:30",0.11677,32,victorzhu04
92,14744292,LiPeilin,"2025-11-26 12:00:50",0.11682,31,l1peilin
93,15008498,"Navya Vankani","2025-12-22 07:09:52",0.11688,1,navyavankani
94,14531014,"zhuohang zhu","2025-12-15 16:34:22",0.11698,32,zhuohangzhu
95,14930690,USC20234080216,"2025-12-16 15:27:35",0.11698,6,usc20234080216
96,10128906,liyujiashenzhan,"2025-12-10 15:25:46",0.11703,1,liyujiashenzhan
97,14842898,"[Deleted] f3fabd92-b3a8-4d98-8c14-9f84937fc114","2025-11-26 13:29:56",0.11719,6,del=90d280d23867f2a9
98,12735156,wanglazhu,"2025-12-02 03:10:28",0.11720,4,wanglazhu
99,14842864,"[Deleted] 6e4683e8-acb3-41bb-b496-ca2582baab41","2025-11-26 13:26:47",0.11721,10,del=9ba77d6c7ce39d84
100,15054695,"anmol singh","2026-01-05 11:34:09",0.11724,3,anmolsingh69
101,11158516,rkassila,"2025-11-29 08:07:32",0.11730,11,rkassila
102,14763646,"Dzaky Hilmy","2025-11-18 13:37:14",0.11735,2,dzakyhilmy
103,14910325,lifeihong,"2025-12-24 09:17:12",0.11735,3,lifeihong0325
104,14431758,Vigneshs10,"2025-11-30 06:15:37",0.11736,38,vigneshs10
105,14824677,"Yang Chen #3","2025-11-24 05:25:00",0.11738,1,yangchen4805
106,14854559,"王奥楠 王晴晴","2025-11-29 16:51:39",0.11739,9,wangqingqing2025
107,14842832,"[Deleted] 5408c95d-3e12-4fd7-91a3-cd50eb5844c0","2025-11-26 13:23:00",0.11740,10,del=d86679e98467d063
108,8601334,Laszlore,"2025-12-31 17:10:08",0.11743,1,laszlore
109,14816565,"Chen Yang #3","2025-12-14 13:48:34",0.11744,5,yc4805
110,14786486,guojunyang678,"2025-11-19 02:53:54",0.11744,1,guojunyang678
111,14781202,葛帅林GSL,"2025-11-19 11:55:07",0.11744,3,gsl123
112,14924740,"[Deleted] 6f700a1a-b892-4310-8dd6-d1d1187bd43d","2025-12-17 05:26:18",0.11744,5,del=99a9d72fffd0f295
113,14986453,swlqwe,"2025-12-18 03:11:58",0.11744,1,swlqwe
114,14424391,捏捏鱼鱼,"2025-12-17 02:39:43",0.11760,28,qqqyyy03
115,14988476,usc20234080218,"2025-12-18 02:41:37",0.11761,6,usc20234080218
116,14384574,"Renu Singh Parihar","2025-11-26 03:55:47",0.11762,2,"apoorbabose30,renusinghparihar"
117,14359826,"Liu Xiaoting","2025-12-20 01:09:31",0.11767,51,xixi0224
118,2237049,mrbrown,"2025-12-03 08:08:19",0.11770,3,mcs999
119,14919224,hengfeiwang2,"2025-12-20 03:03:19",0.11772,18,hengfeiwang2
120,14240767,CSC345,"2025-11-17 06:43:06",0.11775,11,"han21400,saizawoo"
121,14872823,"nix user","2025-12-26 12:43:09",0.11776,32,nixuser
122,14795038,Why,"2025-11-27 01:50:37",0.11777,29,lapolic
123,14967649,Chen030821,"2025-12-14 14:01:55",0.11778,1,chen030821
124,13916174,"AADITYA SHRIVASTAV","2025-12-28 07:50:24",0.11779,4,"aadityashrivastav,adityammantri"
125,14900979,ZilinLai000,"2025-12-09 10:01:21",0.11780,23,zilinlai000
126,14936821,USC20234080408,"2025-12-10 06:46:22",0.11780,5,usc20234080408
127,14222184,"Ye Thu","2025-11-17 13:09:16",0.11784,11,yethukmutt
128,14874633,"Flake User","2025-12-03 08:40:58",0.11784,28,flakeuser
129,14875810,"Nix Flake","2025-12-02 00:28:29",0.11784,11,nixflake
130,14521310,kakapt,"2025-12-27 08:50:17",0.11784,29,kakapt
131,14709248,"Thành Nguyễn #8","2025-12-02 08:33:55",0.11784,17,nupaakachii
132,14677349,OSU-25-13814,"2025-11-18 07:32:42",0.11785,1,zhanwenj
133,14729337,OSU-25-22800,"2025-11-18 07:47:50",0.11788,11,feikeng314
134,14846489,"cjin cjin","2025-11-27 05:32:25",0.11788,6,cjincjin
135,14980426,"Marc Hg","2025-12-22 09:03:52",0.11790,17,marchg
136,14984406,"Antoine La","2025-12-21 23:02:39",0.11790,20,antoinela
137,14997970,"Mohamed Amr","2025-12-20 19:57:18",0.11793,1,mohamedamrabdelkawy
138,14751850,OSU-25-86430,"2025-11-18 05:38:55",0.11793,13,seandoy
139,14971551,zLatios,"2025-12-26 19:04:13",0.11796,6,zlatios
140,14853215,"Anar Battsengel","2025-12-05 04:44:27",0.11802,10,anarbattsengel
141,14670145,OSU-25-29189,"2025-11-17 05:07:42",0.11803,6,rachelx000
142,14345066,kkkeng,"2025-12-09 12:29:14",0.11804,1,kkkeng
143,14384388,IJustinStutler,"2025-11-19 23:06:41",0.11804,18,ijustinstutler
144,15005337,刘丽琴1,"2025-12-22 14:14:15",0.11805,12,llqllq
145,8800242,"Federico Griggio","2025-12-18 13:28:01",0.11805,1,federicogriggio
146,14730315,OSU-25-08149,"2025-11-18 05:00:39",0.11805,10,traviswhitney
147,14861333,Zeyvwa,"2025-11-30 06:39:07",0.11809,1,zeyvwa
148,14431923,"HF W","2025-12-19 18:49:37",0.11813,32,hengfwang
149,14925030,yiyu2345467,"2025-12-18 05:29:06",0.11813,4,yiyu2345467
150,13986431,"Kaustuk Pratap Singh","2025-12-08 17:46:35",0.11813,1,kaustukpratapsingh
151,15045092,"Tingting Ni","2026-01-02 22:54:35",0.11826,8,tingtingni1998
152,14897981,"[Deleted] 1a59d49e-5092-4884-9299-ef3aa5be1b56","2025-12-10 02:51:04",0.11827,3,del=0cecaa51f2cd001a
153,14661953,OSU-25-90623,"2025-11-18 00:45:03",0.11827,13,leed24
154,14384385,Krishna2056,"2025-11-26 02:52:24",0.11829,34,krishna2056
155,14250099,correia04,"2026-01-02 15:13:17",0.11832,4,correia04
156,14818963,Jinc,"2025-11-29 08:28:45",0.11832,1,jincii
157,14765674,"[Deleted] 8db10e59-c0f8-4abb-a6f0-114c91ca8c7a","2025-11-17 16:08:57",0.11833,4,del=cbb334e55f136e84
158,14859137,shirley1923,"2025-11-30 04:02:52",0.11833,4,shirley1923
159,14830983,YunHyukJoon,"2025-12-03 08:57:21",0.11833,26,yunhyukjoon
160,14915699,"emre tarran","2025-12-14 02:05:11",0.11833,5,emretarran
161,15040139,qqq1234,"2025-12-31 10:25:37",0.11836,3,qqq831347
162,13171747,"KORI Toshinari","2025-12-21 06:20:18",0.11838,62,koritoshinari
163,14847034,wangfangmin,"2025-11-28 12:22:51",0.11839,8,wangfangmin
164,14677451,OSU-25-87688,"2025-11-18 07:22:14",0.11841,9,byronmagofna
165,12413931,"Vitor Meurer Besen","2025-11-22 16:25:10",0.11841,2,vitormeurerbesen
166,10648977,"Adam Golledge","2025-12-07 22:28:54",0.11843,30,adamgolledge1
167,14476086,aaTrial2,"2025-11-26 16:11:22",0.11844,27,aatrial2
168,14334282,dadafasv,"2025-12-08 04:39:56",0.11849,9,dadafasv
169,14699698,OSU-25-67606,"2025-11-16 20:24:17",0.11849,2,loughinc
170,14997384,"DANISH AZEEM36512","2026-01-08 09:15:21",0.11853,10,danishazeem36512
171,15013245,anhyobin,"2025-12-24 05:40:21",0.11857,13,anhyobin
172,14746261,OSU-25-73590,"2025-11-17 13:33:29",0.11858,6,yihochang
173,14614307,hbhbbkjbk,"2025-12-20 11:55:34",0.11858,39,hbhbbkjbk
174,14995570,onone,"2025-12-19 06:01:14",0.11861,1,onone27
175,14899623,virding,"2025-12-14 12:45:34",0.11862,7,virding
176,14821830,CaTTTTT,"2025-11-27 06:54:59",0.11864,10,origincat
177,12852947,"Shinichi Nakamura","2026-01-15 01:01:39",0.11866,22,westnews
178,14796336,USC20234080409,"2025-11-20 13:36:34",0.11866,6,usc20234080409
179,14988542,"by a","2025-12-18 08:03:05",0.11869,7,byaaby
180,15032073,kangwooin,"2026-01-06 05:05:13",0.11870,3,kangwooin
181,15018683,"wang weixin","2025-12-25 03:51:18",0.11872,11,wangweixin223
182,14968711,"Harper Chu","2025-12-15 14:26:13",0.11872,2,harperchu
183,14558640,Galaxy6137,"2025-12-16 07:57:14",0.11874,7,"djstrobe,galaxy1919,gardenia1899,yorha666"
184,14889177,MYusufAl,"2025-12-05 19:50:40",0.11875,14,myusufal
185,14913771,"Rumia #2","2025-12-08 09:14:41",0.11877,8,rumia0
186,14570678,PYNEU6182,"2025-11-24 13:27:34",0.11880,39,"irisyu0628,ppeisiqi,xuruoyang,zhang1939"
187,14180432,HazyLuo,"2026-01-02 12:44:40",0.11880,2,hazyluo
188,14741959,"Yuyang Zhao","2025-11-23 13:07:24",0.11883,6,yuyangzqcqwd211whao
189,15005236,"Hamed Al-Manji","2025-12-26 01:08:48",0.11883,21,hamedalmanji2
190,14650409,CSE404FS25QKDJV,"2025-12-11 15:36:37",0.11888,31,cse404fs25qkdjv
191,15022227,"Nikolai #3","2026-01-05 12:29:58",0.11889,2,priadkinnikolai
192,14905423,"Alexander Stepulenok","2025-12-09 13:18:56",0.11889,8,alexanderstepulenok
193,14318989,Jackson082503,"2025-11-17 08:08:53",0.11890,2,jackson082503
194,14971563,"Xiuming Li99","2026-01-03 15:43:56",0.11891,30,xiumingli99
195,14971709,linxusd,"2026-01-03 13:14:51",0.11891,30,linxusd
196,14777327,"Khaing Zin Than","2025-11-18 08:11:06",0.11893,1,khaingzinthan2228
197,14557870,"qq cc123","2025-11-24 12:20:27",0.11895,5,qqcc123
198,14533108,"Harry otavio","2025-12-19 21:02:06",0.11895,19,harryotavio
199,14539532,lpnnnn,"2025-12-18 09:32:27",0.11895,11,lpnnnn
200,14988638,usc20234080102,"2025-12-18 03:15:42",0.11895,1,usc20234080102
201,14372489,"just hang","2025-12-12 07:11:31",0.11896,3,justhang
202,14419600,cuitongzhou,"2025-12-21 15:38:52",0.11897,16,cuitongzhou
203,14971338,QWEASD283811,"2025-12-15 09:08:20",0.11897,1,qweasd283811
204,14840828,Chencici154,"2025-11-30 06:33:10",0.11897,1,chencici154
205,15021868,sassada,"2025-12-25 19:20:12",0.11898,10,sassada
206,14853161,"asura jims","2025-11-28 05:51:03",0.11898,5,asurajims
207,5911846,"Javier Reinoso","2025-11-16 15:20:15",0.11898,1,javierreinoso
208,14708690,"Stave Osias","2025-11-16 13:43:10",0.11899,1,staveosias
209,14859224,谷尹沭人,"2025-12-11 04:33:29",0.11899,16,guyinshuren
210,14970673,USC20252010210825,"2026-01-03 16:18:16",0.11899,40,usc20252010210825
211,15078500,"Jithin S s","2026-01-10 11:15:32",0.11900,2,jithinai
212,14819399,E.Y.Yuan,"2025-11-26 05:56:11",0.11901,1,eyyuan
213,15024801,shenwudizuiqiang,"2025-12-26 08:08:12",0.11902,2,shenwudizuiqiang
214,15024368,"SEUN OH","2025-12-26 05:28:05",0.11902,6,ohseun0210
215,14975430,linunnb,"2025-12-16 03:24:56",0.11902,10,linunnb
216,14948623,"Simon Flasaquier","2025-12-11 09:55:55",0.11906,3,simonflasaquier
217,14971952,linxusss,"2026-01-03 16:49:32",0.11906,27,linxusss
218,14983930,sudo2234,"2025-12-18 08:13:27",0.11907,3,sudo2234
219,15045909,"Jonathan Meyer Dr Professor So & So","2026-01-14 12:21:29",0.11909,8,jonmeyerdrprofessor
220,14977556,Keng3x,"2025-12-17 04:09:11",0.11910,5,keng3x
221,15076672,scott,"2026-01-11 18:47:10",0.11910,18,scottau
222,14743694,ArisugawaNatsuha,"2025-11-17 04:48:56",0.11911,5,arisugawanatsuha
223,14831036,imdokyun,"2025-12-03 12:09:52",0.11913,7,qwerasdfewqgsgsaf
224,15054842,"oliver #4","2026-01-07 23:20:44",0.11915,40,oliverlang
225,14846087,sooio,"2025-11-28 14:21:19",0.11916,8,sooiio
226,14777595,"Aasem muhammad","2025-12-02 00:44:36",0.11918,9,assemmuhammad
227,14838937,Sal_Dhun,"2025-11-26 15:47:34",0.11920,7,saldhun
228,14830978,kimnahyun,"2025-11-30 10:01:58",0.11920,10,kimnahyun1116
229,14796977,USC20234080413,"2025-12-10 06:40:13",0.11925,18,usc20234080413
230,14726285,Ryms,"2025-11-21 14:46:17",0.11927,24,ryms2007
231,14941418,jpoole1111,"2025-12-10 09:09:47",0.11928,4,jpoole1111
232,14711643,Galexycyx,"2025-11-27 09:02:57",0.11928,15,galexycyx
233,14362133,USC20234080323,"2025-12-17 10:32:29",0.11928,11,usc20234080323
234,14431803,HaloLiu,"2025-12-20 03:03:49",0.11928,7,haloliu
235,14279386,wangguoqihust,"2025-12-30 13:49:45",0.11929,52,wangguoqihust
236,14977674,xyb,"2025-12-18 09:49:13",0.11930,5,xyb0816
237,14892520,"Federica Pasquali","2025-12-14 14:32:18",0.11930,8,federica134
238,14999378,"gao fandd","2025-12-19 20:47:39",0.11933,10,gaofandd
239,14576854,"a lemon tree","2025-12-20 03:53:43",0.11933,32,alemontree
240,14999521,USC20252010210761,"2025-12-20 03:55:15",0.11933,10,usc20252010210761gf
241,14830976,강준형1,"2025-11-30 10:54:47",0.11934,9,a23124
242,14601764,"Aughur AIT","2025-12-07 16:57:12",0.11935,47,aughurait
243,13914112,"Roman K","2025-11-17 23:34:36",0.11938,3,romanwr
244,3637831,"João Batista","2025-12-18 03:39:12",0.11939,5,kyrian
245,15020886,JohnGao0981,"2025-12-31 02:41:14",0.11939,27,johngao0981
246,14267771,Edvinas23,"2025-12-21 09:54:22",0.11941,55,edvinas23
247,13834879,"SAIFUR RAHMAN #2","2025-12-15 13:37:49",0.11946,17,saifurrahmanrpd
248,14711540,WWXA,"2025-12-06 08:53:44",0.11946,1,jxjxjx1
249,14850116,ETO,"2025-11-28 18:37:48",0.11946,7,boussifabdelbasset
250,14581513,Yajin424,"2025-12-18 04:31:28",0.11946,44,yajin424
251,14845690,한지은이,"2025-12-03 13:23:03",0.11947,21,hanjieunyy
252,14845671,Novem,"2025-12-02 14:38:15",0.11954,7,novem18
253,15019597,"Not Real42","2025-12-30 21:54:49",0.11954,14,notreal42
254,6309306,"Tomas Altilio","2025-12-27 14:31:31",0.11955,9,tomasaltilio
255,14626192,"JASWANTH REDDY G","2025-11-20 22:51:44",0.11955,10,jaswanthreddyg
256,14362613,USC20234080313,"2025-12-16 14:56:41",0.11956,16,usc20234080313
257,14895294,王xinyu,"2025-12-04 09:14:29",0.11957,1,spider66
258,12848004,TuppyKkai,"2025-11-18 10:42:18",0.11959,2,tuppykkai
259,14766880,"Liu Tai","2025-11-18 10:46:25",0.11959,11,liutai
260,15043620,"Chris Dickinson #2","2026-01-13 16:15:21",0.11960,3,dickinsc
261,14227644,ChrisMoe,"2025-11-17 13:33:31",0.11961,1,chrismoe
262,14846593,"yds l","2025-12-14 10:05:14",0.11962,4,lyds1018
263,14779657,fengxiaoyunjian,"2025-11-21 05:10:17",0.11963,5,fengxiaoyunjian
264,14610132,"yxuan GU","2025-11-20 20:20:48",0.11964,14,yxuangu
265,14986273,"Gao Khalil","2025-12-18 03:47:35",0.11964,2,gaokhalil
266,14821127,RRiwnl,"2025-12-02 20:41:07",0.11964,15,rriwnl
267,15067893,keehar,"2026-01-09 08:20:06",0.11964,1,keehar
268,14981345,USC20252010210756,"2025-12-17 03:16:18",0.11966,3,usc20252010210756
269,14851989,GROUP15_SEP769,"2025-11-28 00:17:12",0.11967,11,"boxiang1,haohanli2,poomko"
270,15026346,"Hoàng Tiến Đạt #2","2025-12-26 17:01:13",0.11967,2,datuet
271,14704561,OSU-25-93944,"2025-11-17 15:59:42",0.11968,5,zorenotaizen
272,14365484,Cologneeeee_,"2025-12-17 13:54:05",0.11969,1,cologneeeee
273,14533648,Jinghan7,"2025-11-20 12:34:41",0.11971,3,jinghan7
274,14955877,Batuhan36,"2025-12-14 14:36:04",0.11972,11,batuhan36
275,14714320,lvblc4_ECONSBF25,"2025-12-19 07:34:10",0.11972,72,"aishakademova,batuhankarada,kaancantezer,muminygt"
276,14426829,USC20224950130,"2025-11-26 13:53:48",0.11974,6,alfy60297
277,11747086,"Simon Makumi","2025-11-21 14:42:22",0.11976,1,mufasasimon
278,14826383,Elon1314,"2025-11-28 03:10:17",0.11976,4,elon1314
279,14900786,dontoliverenjoyer,"2025-12-19 08:17:20",0.11977,40,dontoliverenjoyer
280,15022072,Charlesweww,"2025-12-30 09:42:38",0.11977,9,charlesweww
281,14714327,"HELLO WORLD(""print"")_ECONSBF25","2025-12-17 08:55:14",0.11980,76,"akzyinat06,cuneytkosar17"
282,13662410,"aziz dhif","2025-11-16 16:04:17",0.11983,1,azizdhif
283,15040405,munnnyu,"2026-01-01 08:36:38",0.11983,5,munnnyu
284,15067969,"Babo Okada ","2026-01-08 04:42:51",0.11985,5,babookada
285,14832014,reesefinch,"2025-11-28 12:49:26",0.11985,1,reesefinch
286,14769761,OSU-25-50954,"2025-11-18 00:51:14",0.11987,4,ethanpilskalns
287,15036594,"Сорокина Полина","2026-01-14 18:52:58",0.11987,1,monopoly228
288,13813062,qwerryfiwy,"2025-11-24 19:18:58",0.11989,1,qwerryfiwy
289,10063192,"Xu Liangwei","2026-01-13 20:44:33",0.11990,10,xuliangwei
290,14416073,SSssZZ,"2026-01-09 16:33:50",0.11991,6,sssszz
291,15098433,SeeyaZYM,"2026-01-15 02:59:07",0.11992,1,seeyazym
292,15051991,"Pepe Ceballos","2026-01-05 20:18:54",0.11993,6,pepeceballos
293,15044171,"Lê Thanh Hùng Phan","2026-01-04 04:13:55",0.11994,6,lthanhhngphan
294,14752412,赵冉ZhaoRan,"2025-11-29 13:44:38",0.11994,11,zhaoran1112
295,11958309,"Harshit Kumar5557","2026-01-11 05:14:02",0.11996,20,"abhinavyadav277,harshitkumar5557"
296,14390326,Huangdakang,"2025-12-19 09:11:19",0.11996,10,huangdakang
297,14845682,"park chae wo","2025-11-28 02:15:48",0.11996,17,parkchaewo
298,14970115,christine0228,"2025-12-27 01:19:25",0.11997,2,christine0228
299,14721540,"Ngô Đông Ất #2","2025-11-28 11:22:25",0.12000,15,ngodongat123
300,5987040,UmrbekAllakulov,"2026-01-15 11:17:26",0.12002,18,artofficialintel
301,14695499,OSU-25-81124,"2025-11-18 01:05:52",0.12002,12,dilumikachandrasiri
302,14753281,"NORIKO FUJIMOTO","2025-12-02 00:16:27",0.12002,4,norikofujimoto
303,14901214,"zk t","2025-12-12 08:45:26",0.12004,2,tan0107
304,14948878,ce2iso,"2025-12-13 00:02:32",0.12004,21,ce2iso
305,15094158,"Binh Nguyen #3","2026-01-14 16:23:20",0.12004,10,iloveflo
306,14928560,"Artem Filin","2025-12-14 20:24:27",0.12005,5,ferful9
307,14986187,"llyy #2","2025-12-18 11:09:04",0.12005,5,lylhjwsy
308,15009771,"Elon Cheng","2025-12-25 12:00:51",0.12008,2,eloncheng
309,14978662,jiangnan1most,"2025-12-17 09:32:59",0.12010,5,jiangnan1most
310,14909982,"Nakajima Sho","2025-12-19 23:09:10",0.12010,12,sho1005
311,14976632,usc20252010210836,"2025-12-16 07:36:12",0.12011,3,usc20252010210836
312,14824214,supull,"2025-11-25 17:49:28",0.12011,4,supull
313,14850220,"HAJ Saeed","2025-11-27 16:35:56",0.12011,7,hajsaeed
314,14908648,Yuhei.S2025,"2025-12-10 18:05:08",0.12011,2,yuheis2025
315,15084355,"Wei #2","2026-01-14 03:20:26",0.12011,1,chanweisheng
316,14424459,"Ahmet Canberk Unal","2025-12-15 14:10:28",0.12013,2,ahmetcanberkunal
317,14981909,"yiyao xue","2025-12-18 11:35:21",0.12013,4,yiyaoxue
318,14742792,PyTrees,"2025-12-20 09:11:36",0.12013,34,pytrees
319,14833507,"Phan Minh Hòa","2025-12-21 04:51:07",0.12014,13,phanminhha
320,15093802,Takopi,"2026-01-14 07:09:15",0.12015,2,baod1nh
321,14811875,"Koki ANDO","2025-11-24 13:47:27",0.12016,4,kokiando
